,,$K = \lfloor 0.1N \rfloor$,$K = \lfloor 0.1N \rfloor$,$K = \lfloor 0.1N \rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.3N\rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.5N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.7N \rfloor$,$K = \lfloor0.9N \rfloor$,$K = \lfloor0.9N \rfloor$,$K = \lfloor0.9N \rfloor$
,,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R,$\mu$,$\sigma$,S.R
$C_0 = 0.75/6$,Card MVO,12.30%,12.40%,0.996,12.70%,12.50%,1.01,12.50%,12.60%,0.998,12.30%,12.80%,0.959,12.70%,12.50%,1.01
$C_0 = 0.75/6$,MVO,11.90%,12.40%,0.966,11.90%,12.40%,0.966,11.90%,12.40%,0.966,11.90%,12.40%,0.966,11.90%,12.40%,0.966
$C_0 = 0.75/6$,Exact Solve - Vol,11.60%,12.30%,0.937,14.20%,14.30%,0.993,12.80%,14.30%,0.894,12.40%,14.40%,0.863,13.10%,14.50%,0.906
$C_0 = 0.75/6$,PADM - Fundamentals,11.80%,13.50%,0.874,12.40%,12.60%,0.982,12.40%,12.80%,0.965,13.00%,12.70%,1.02,12.00%,12.50%,0.962
$C_0 = 1.00/6$,Card MVO,12.30%,12.80%,0.961,11.60%,12.40%,0.929,11.60%,12.40%,0.929,11.60%,12.40%,0.929,11.60%,12.40%,0.929
$C_0 = 1.00/6$,MVO,11.20%,12.20%,0.916,11.20%,12.20%,0.916,11.20%,12.20%,0.916,11.20%,12.20%,0.916,11.20%,12.20%,0.916
$C_0 = 1.00/6$,Exact Solve - Vol,11.20%,12.20%,0.919,11.70%,15.90%,0.732,15.00%,15.40%,0.974,13.40%,15.30%,0.877,13.00%,14.70%,0.888
$C_0 = 1.00/6$,PADM - Fundamentals,11.40%,12.70%,0.898,12.30%,12.40%,0.995,11.40%,12.80%,0.894,11.10%,12.60%,0.883,10.90%,12.10%,0.907
$C_0 = 1.25/6$,Card MVO,10.90%,12.00%,0.914,10.70%,12.10%,0.888,11.30%,12.40%,0.918,10.50%,12.70%,0.825,10.60%,12.30%,0.855
$C_0 = 1.25/6$,MVO,10.90%,12.10%,0.905,10.90%,12.10%,0.905,10.90%,12.10%,0.905,10.90%,12.10%,0.905,10.90%,12.10%,0.905
$C_0 = 1.25/6$,Exact Solve - Vol,11.20%,12.00%,0.932,11.70%,15.00%,0.777,12.30%,14.60%,0.842,12.50%,14.80%,0.843,12.40%,14.10%,0.877
$C_0 = 1.25/6$,PADM - Fundamentals,10.80%,12.30%,0.883,11.60%,12.70%,0.916,11.60%,12.20%,0.956,11.10%,12.70%,0.876,11.50%,12.00%,0.955
